                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.981,                 4.2983,                  4.304,                      0,                      0,                      0,                      0,                 2.8661,                   4.04,                 4.1025,                  0.082,                  0.002,                  0.002
                      1,                  2.915,                 4.0481,                  4.271,                      0,                      0,                      0,                      0,                 2.7954,                 3.9786,                 4.0644,               0.061071,              0.0020705,              0.0020705
