                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.981,                 4.2983,                  4.304,                      0,                      0,                      0,                      0,                 2.8661,                   4.04,                 4.1025,                  0.082,                  0.002,                  0.002
                      1,                 2.9057,                 4.0441,                  4.266,                      0,                      0,                      0,                      0,                 2.7959,                 3.9776,                 4.0646,               0.061747,               0.002747,               0.002747
                      2,                 2.9341,                 3.8942,                 4.2087,                      0,                      0,                      0,                      0,                 2.7596,                 3.9445,                 4.0469,               0.040108,               0.002108,               0.002108
