                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0346,                 4.3306,                  4.321,                      0,                      0,                      0,                      0,                 2.8795,                 4.0501,                 4.1124,                  0.091,                  0.001,                  0.001
                      1,                  2.932,                 4.1025,                 4.2473,                      0,                      0,                      0,                      0,                  2.804,                 3.9977,                 4.0697,               0.080407,               0.001407,               0.001407
                      2,                 2.9599,                  3.963,                 4.1942,                      0,                      0,                      0,                      0,                 2.7351,                 3.9686,                  4.034,               0.069088,               0.001088,               0.001088
